keyword,rank,bid,impressions,clicks,cpc,cost
제조,1,7320,3962,3,1340.0,4020
제조,2,1240,2803,3,1007.0,3022
제조,3,1000,2209,2,812.0,1625
제조,4,830,1694,1,674.0,674
제조,5,690,1184,1,561.0,561
제조,6,620,888,1,504.0,504
제조,7,590,751,1,479.0,479
제조,8,550,557,1,447.0,447
제조,9,520,403,1,422.0,422
제조,10,500,294,1,406.0,406
제조견적,1,700,0,0,,0
제조견적,2,410,0,0,,0
제조견적,3,360,0,0,,0
제조견적,4,70,0,0,,0
제조견적,5,70,0,0,,0
제조견적,6,70,0,0,,0
제조견적,7,70,0,0,,0
제조견적,8,70,0,0,,0
제조견적,9,70,0,0,,0
제조견적,10,70,0,0,,0
제조창업,1,430,17,0,,0
제조창업,2,180,17,0,,0
제조창업,3,140,15,0,,0
제조창업,4,70,10,0,,0
제조창업,5,70,10,0,,0
제조창업,6,70,10,0,,0
제조창업,7,70,10,0,,0
제조창업,8,70,10,0,,0
제조창업,9,70,10,0,,0
제조창업,10,70,10,0,,0
금형,1,4740,3752,62,3426.0,212412
금형,2,3640,3752,44,2956.0,130079
금형,3,3320,3677,34,2696.0,91680
금형,4,3090,3563,26,2510.0,65251
금형,5,2890,3456,20,2347.0,46945
금형,6,2620,3300,11,2128.0,23408
금형,7,2450,3193,6,1990.0,11939
금형,8,2280,3079,0,,0
금형,9,2120,2963,0,,0
금형,10,1990,2862,0,,0
금형사출,1,1730,247,7,1405.0,9836
금형사출,2,1620,247,5,1316.0,6579
금형사출,3,1510,244,3,1226.0,3679
금형사출,4,1420,238,1,1153.0,1153
금형사출,5,1320,230,0,,0
금형사출,6,1200,220,0,,0
금형사출,7,1090,210,0,,0
금형사출,8,990,200,0,,0
금형사출,9,890,189,0,,0
금형사출,10,800,177,0,,0
3D프린팅,1,11700,2607,114,8799.0,1003086
3D프린팅,2,9970,2607,114,8076.0,920660
3D프린팅,3,9110,2607,112,7402.0,829069
3D프린팅,4,8450,2607,97,6885.0,667892
3D프린팅,5,7830,2607,84,6400.0,537591
3D프린팅,6,7230,2595,74,5930.0,438817
3D프린팅,7,6570,2489,63,5413.0,341021
3D프린팅,8,5920,2374,55,4904.0,269717
3D프린팅,9,5430,2278,49,4520.0,221489
3D프린팅,10,4920,2169,44,4121.0,181312
CNC,1,7280,6699,110,5498.0,604780
CNC,2,6260,6699,110,5084.0,559260
CNC,3,5690,6667,88,4621.0,406670
CNC,4,5270,6449,67,4280.0,286770
CNC,5,4980,6288,52,4045.0,210321
CNC,6,4680,6112,36,3801.0,136835
CNC,7,4450,5968,24,3614.0,86741
CNC,8,4190,5797,11,3403.0,37433
CNC,9,3880,5579,0,,0
CNC,10,3540,5318,0,,0
고산,1,70,0,0,,0
고산,2,70,0,0,,0
고산,3,70,0,0,,0
고산,4,70,0,0,,0
고산,5,70,0,0,,0
고산,6,70,0,0,,0
고산,7,70,0,0,,0
고산,8,70,0,0,,0
고산,9,70,0,0,,0
고산,10,70,0,0,,0
에이팀벤쳐스,1,70,12,0,,0
에이팀벤쳐스,2,70,12,0,,0
에이팀벤쳐스,3,70,12,0,,0
에이팀벤쳐스,4,70,12,0,,0
에이팀벤쳐스,5,70,12,0,,0
에이팀벤쳐스,6,70,12,0,,0
에이팀벤쳐스,7,70,12,0,,0
에이팀벤쳐스,8,70,12,0,,0
에이팀벤쳐스,9,70,12,0,,0
에이팀벤쳐스,10,70,12,0,,0
