keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
제조,7320,1240,1000,830,690,620,590,550,520,500
제조견적,700,410,360,70,70,70,70,70,70,70
제조창업,430,180,140,70,70,70,70,70,70,70
금형,4740,3640,3320,3090,2890,2620,2450,2280,2120,1990
금형사출,1730,1620,1510,1420,1320,1200,1090,990,890,800
3D프린팅,11700,9970,9110,8450,7830,7230,6570,5920,5430,4920
CNC,7280,6260,5690,5270,4980,4680,4450,4190,3880,3540
고산,70,70,70,70,70,70,70,70,70,70
에이팀벤쳐스,70,70,70,70,70,70,70,70,70,70
